CountyName,CustomersServed,CustomersAffected,timestamp,EMC
Barbour,0,3,06-05-2024 00:55:01,PEA River Electric Coop
Barbour,0,3,06-05-2024 01:10:01,PEA River Electric Coop
Barbour,0,3,06-05-2024 01:25:04,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:10:13,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:25:05,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:40:01,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:55:02,PEA River Electric Coop
Barbour,0,2,06-05-2024 13:10:14,PEA River Electric Coop
Dale,0,18,06-05-2024 19:10:03,PEA River Electric Coop
Dale,0,18,06-05-2024 19:25:02,PEA River Electric Coop
Dale,0,93,06-05-2024 19:40:01,PEA River Electric Coop
Dale,0,93,06-05-2024 19:55:05,PEA River Electric Coop
Dale,0,93,06-05-2024 20:10:01,PEA River Electric Coop
Dale,0,93,06-05-2024 20:25:01,PEA River Electric Coop
Barbour,0,1,06-06-2024 10:10:05,PEA River Electric Coop
Barbour,0,1,06-06-2024 10:25:05,PEA River Electric Coop
Barbour,0,1,06-06-2024 10:40:09,PEA River Electric Coop
Barbour,0,10,06-06-2024 13:55:02,PEA River Electric Coop
Dale,0,3,06-06-2024 15:55:01,PEA River Electric Coop
Dale,0,3,06-06-2024 16:10:06,PEA River Electric Coop
Henry,0,46,06-06-2024 17:10:02,PEA River Electric Coop
Henry,0,46,06-06-2024 17:25:01,PEA River Electric Coop
Henry,0,53,06-06-2024 17:40:02,PEA River Electric Coop
Henry,0,53,06-06-2024 17:55:02,PEA River Electric Coop
Henry,0,53,06-06-2024 18:10:01,PEA River Electric Coop
Henry,0,53,06-06-2024 18:25:01,PEA River Electric Coop
Henry,0,53,06-06-2024 18:40:01,PEA River Electric Coop
Henry,0,53,06-06-2024 18:55:01,PEA River Electric Coop
Dale,0,1,06-06-2024 19:10:01,PEA River Electric Coop
Henry,0,53,06-06-2024 19:10:01,PEA River Electric Coop
Dale,0,1,06-06-2024 19:25:01,PEA River Electric Coop
Henry,0,1,06-06-2024 19:25:01,PEA River Electric Coop
Dale,0,2,06-06-2024 19:40:01,PEA River Electric Coop
Henry,0,1,06-06-2024 19:40:01,PEA River Electric Coop
Dale,0,2,06-06-2024 19:55:01,PEA River Electric Coop
Dale,0,2,06-06-2024 20:10:01,PEA River Electric Coop
Dale,0,2,06-06-2024 20:25:01,PEA River Electric Coop
Dale,0,1,06-06-2024 20:40:01,PEA River Electric Coop
Dale,0,1,06-06-2024 23:25:02,PEA River Electric Coop
Dale,0,1,06-06-2024 23:40:00,PEA River Electric Coop
Dale,0,1,06-06-2024 23:55:07,PEA River Electric Coop
Dale,0,3,06-07-2024 12:55:12,PEA River Electric Coop
Dale,0,3,06-07-2024 13:10:01,PEA River Electric Coop
Dale,0,3,06-07-2024 13:25:02,PEA River Electric Coop
Dale,0,3,06-07-2024 13:55:08,PEA River Electric Coop
Dale,0,3,06-07-2024 14:25:02,PEA River Electric Coop
Dale,0,3,06-07-2024 14:40:01,PEA River Electric Coop
Dale,0,3,06-07-2024 14:55:03,PEA River Electric Coop
Dale,0,3,06-07-2024 15:10:05,PEA River Electric Coop
Dale,0,3,06-07-2024 15:25:03,PEA River Electric Coop
Dale,0,3,06-07-2024 15:40:01,PEA River Electric Coop
Dale,0,3,06-07-2024 15:55:03,PEA River Electric Coop
Henry,0,1,06-08-2024 02:25:00,PEA River Electric Coop
Dale,0,1,06-08-2024 15:55:01,PEA River Electric Coop
Dale,0,5,06-08-2024 16:55:01,PEA River Electric Coop
Dale,0,5,06-08-2024 17:10:01,PEA River Electric Coop
Dale,0,5,06-08-2024 17:25:01,PEA River Electric Coop
Dale,0,5,06-08-2024 17:40:01,PEA River Electric Coop
Henry,0,1,06-08-2024 19:55:01,PEA River Electric Coop
Henry,0,1,06-08-2024 20:10:01,PEA River Electric Coop
Henry,0,1,06-08-2024 20:25:01,PEA River Electric Coop
Henry,0,2,06-08-2024 23:10:01,PEA River Electric Coop
Henry,0,2,06-08-2024 23:25:01,PEA River Electric Coop
Henry,0,2,06-08-2024 23:40:01,PEA River Electric Coop
Henry,0,2,06-08-2024 23:55:01,PEA River Electric Coop
Dale,0,1,06-09-2024 11:25:08,PEA River Electric Coop
Dale,0,1,06-09-2024 11:40:12,PEA River Electric Coop
Dale,0,1,06-09-2024 11:55:03,PEA River Electric Coop
Dale,0,1,06-09-2024 12:10:09,PEA River Electric Coop
Barbour,0,1,06-10-2024 14:55:01,PEA River Electric Coop
Barbour,0,1,06-10-2024 15:10:02,PEA River Electric Coop
Barbour,0,1,06-10-2024 15:25:01,PEA River Electric Coop
Henry,0,26,06-10-2024 20:10:01,PEA River Electric Coop
Henry,0,26,06-10-2024 20:25:02,PEA River Electric Coop
Henry,0,26,06-10-2024 20:40:02,PEA River Electric Coop
Henry,0,26,06-10-2024 20:55:01,PEA River Electric Coop
Henry,0,26,06-10-2024 21:10:02,PEA River Electric Coop
Henry,0,26,06-10-2024 21:25:02,PEA River Electric Coop
Henry,0,26,06-10-2024 21:40:01,PEA River Electric Coop
Henry,0,26,06-10-2024 21:55:01,PEA River Electric Coop
Henry,0,26,06-10-2024 22:10:03,PEA River Electric Coop
Henry,0,26,06-10-2024 22:25:03,PEA River Electric Coop
Henry,0,26,06-10-2024 22:40:02,PEA River Electric Coop
Henry,0,26,06-10-2024 22:55:02,PEA River Electric Coop
Henry,0,26,06-10-2024 23:10:06,PEA River Electric Coop
Dale,0,5,06-11-2024 00:10:05,PEA River Electric Coop
Dale,0,5,06-11-2024 00:25:03,PEA River Electric Coop
Dale,0,5,06-11-2024 00:40:03,PEA River Electric Coop
Henry,0,1,06-11-2024 11:55:01,PEA River Electric Coop
Henry,0,1,06-11-2024 12:10:02,PEA River Electric Coop
Henry,0,1,06-11-2024 12:40:01,PEA River Electric Coop
Henry,0,1,06-11-2024 12:55:01,PEA River Electric Coop
Henry,0,26,06-11-2024 17:25:01,PEA River Electric Coop
Henry,0,26,06-11-2024 17:40:01,PEA River Electric Coop
Henry,0,26,06-11-2024 17:55:02,PEA River Electric Coop
Henry,0,26,06-11-2024 18:10:01,PEA River Electric Coop
Henry,0,26,06-11-2024 18:25:01,PEA River Electric Coop
Henry,0,27,06-11-2024 18:40:01,PEA River Electric Coop
Henry,0,27,06-11-2024 18:55:01,PEA River Electric Coop
Henry,0,1,06-11-2024 19:10:01,PEA River Electric Coop
Henry,0,1,06-11-2024 19:25:01,PEA River Electric Coop
Henry,0,1,06-11-2024 19:40:01,PEA River Electric Coop
Dale,0,1,06-12-2024 13:40:01,PEA River Electric Coop
Dale,0,1,06-12-2024 13:55:01,PEA River Electric Coop
Dale,0,1,06-12-2024 14:10:01,PEA River Electric Coop
Dale,0,1,06-12-2024 14:25:02,PEA River Electric Coop
Dale,0,1,06-12-2024 14:40:01,PEA River Electric Coop
Henry,0,2,06-12-2024 21:40:01,PEA River Electric Coop
Henry,0,2,06-12-2024 21:55:01,PEA River Electric Coop
Henry,0,2,06-12-2024 22:10:03,PEA River Electric Coop
Henry,0,2,06-12-2024 22:25:05,PEA River Electric Coop
Henry,0,2,06-12-2024 22:40:04,PEA River Electric Coop
Dale,0,1,06-13-2024 01:10:03,PEA River Electric Coop
Dale,0,1,06-13-2024 01:25:04,PEA River Electric Coop
Dale,0,1,06-13-2024 01:40:03,PEA River Electric Coop
